Tepiter north=Stelle south=Neptune-Hecomri east=Drano west=Hephaesbar
Ditedesret north=Cheaxarter south=Pagocon east=Castalpro west=Cronrio
Zeusve north=Susdeni south=Xeli-Barida east=Castal-Stelle west=Veron
Dermini north=Mercury-Neptunecyg south=Sonlius east=Lotaxvon west=Osoliron
Heccyggi north=Hephaespia south=Achra-Morcognu east=Ridani-Leonis west=Diares
Kupsic-Amdige north=Nisrudor south=Dige east=Heinlein west=Vanmeslox
Mari north=Dustopia-Lardus south=Licastal east=Dorsai-Yarora west=Oblilius
Epsimio north=Spholi-Miome south=Xeliqua east=Dorsai-Megloju west=Loxphobos
Tischerkara north=Glatius-Sepprinig south=Zeuspotel east=Cury-Arva west=Neli-Hephaes
Pulru north=Cetimo south=Danbranleth east=Lasdos west=Cronlonsi
Phoboslic north=Scherlancos south=Ruvan east=Ruphobos west=Vedes
Liceti north=Ximari-Nula south=Borago east=Mari-Taxmia west=Piusbo
Taxmet north=Distu south=Spholi-Thiem east=Cronsen west=Cury-Orimagcos
Ronlicgla north=Vibari south=Brander east=Mesmioba
Digebren north=Cogen south=Nula-Netdomi east=Susbus west=Cardani-Lanlonsi
Sonkara north=Phanibi-Relamb south=Cosma-Brenta east=Phical west=Aldi-Lusoli
Osoli north=Contel south=Opnislein east=Thosas west=Sailonsi
Zathu north=Cica south=Saispho east=Noscheadei west=Cygtune
Lambdus north=Dylarxe south=Lebjo-Busva east=Scherlu west=Piterra-Plutopia
Mecygni north=Deni-Pesmor south=Cheacen east=Yabus west=Liusdra
Astos north=Chronosre south=Caldo-Varryturn east=Roncu west=Buschro
Deiobli north=Pusphoonbus south=Genula east=Denibi-Rionachea west=Centauri-Amdi
Yasicqua north=Niskep south=Omrida-Dermini east=Danibi-Cellesti west=Dunerucar
Cyghein north=Centau-Peri south=Vemekara east=Hephaes west=Laroso
Lupesap north=Dreprome south=Lepsonstel west=Benzarper
Epsi north=Donelarep south=Mari-Nomi east=Biastel west=Catviap
Drades north=Heinlein-Dustopia south=Varthu east=Cori-Luzeusgi west=Eonspho
Nibiru north=Lancel south=Oblity east=Aldi-Valles west=Deimetne
Voncica north=Shporio-Talty south=Thisimio east=Minibi-Osoli west=Netrastel
Biacosma north=Oriphan south=Dreapa east=Saturn-Barsonnep west=Biru-Karamet
Dustopia south=Branomri east=Ronlaper west=Taurida-Noeliphoon
Shporiona-Diati north=Percii-Magpri south=Liusvus east=Varphobos west=Dovbubi
Biru north=Sepbusbus south=Pesxar east=Lambdus-Marscat west=Yanoeli
Dreatos north=Cogthu south=Dorsaipri east=Perida-Phani west=Phobos-Drahein
Aespia north=Nomi south=Osoli-Melamb east=Celles-Telmia west=Ryben
Mesti north=Luca south=Nimbus-Kispul east=Appotel-Achrakep west=Turnlilu
Deni north=Dige-Rida south=Brentastel east=Dancat west=Delta-Nomi
Davlera north=Noeli-Cronxima south=Lepcii east=Stelle-Calera west=Rymer
Thosjupi north=Turnnis south=Topia-Castaldov east=Embora-Gesepmi west=Delta-Mesvon
Diadani north=Lumet south=Typhoon-Leinembo east=Pusdisma west=Jupiter-Astos
Mercury north=Saizeushec south=Memopi east=Terrasai west=Neptune-Aesvon
Vada north=Cronbus south=Aphro east=Thitison west=Lestivus
Piter north=Barsontel south=Tita east=Delta-Marstau west=Vuspiusval
Piusnoe north=Spholi-Thostos south=Luvada east=Perida-Karariona west=Segphoon
Jupiter north=Phoonliccii south=Endor-Talvar east=Retlo west=Leinles
Lanmet north=Dorsaitius south=Arvada-Vuscosma east=Marida-Pulcalic west=Dracii
Taxcaldo north=Nisce south=Curyso east=Thecal west=Leinperi
Metne north=Taxde south=Marsdeni east=Tosry west=Vemia
Vusstelle north=Domi-Tiussep south=Bora-Rahe east=Lambdus-Aphrora west=Omri-Nigdonetius
Nulazar north=Aesvuscyg south=Aurapes east=Embo-Phoonaeseon west=Mesgipri
Maggomes north=Sonlethleb south=Turnsonpist east=Lethkupsic west=Lera-Nelimar
Ando north=Lethron south=Caldo-Pridomi east=Busar west=Licsic
Catdavaph north=Sontaxdrea south=Jupi-Ruheinlein east=Chronospi west=Diteaes
Lera north=Mini south=Oblisic east=Neli-Miosi west=Tupo
Caldo north=Shporio-Raquakis south=Dorsai-Lilantu east=Perida-Loxvian west=Rora
Yakup north=Giperi south=Rype east=Puszeusmar west=Cordo-Cogara
Tedav north=Lesticon south=Aura-Achra east=Arvada-Neptune-Disbarson west=Sepstagni
Ando-Joleo north=Castaldrea south=Taxdel east=Dremialius west=Benzar-Duneba
Bulius north=Lopiustax south=Eslao east=Promelan west=Piataxleb
Noeli north=Barson-Catkupsic south=Dermi-Leraplu east=Susmeg west=Denibi-Britoidvi
Opsep north=Vusqua south=Zarkupsic-Roratune east=Pespercii west=Catro
Cagla north=Trapistne south=Perida-Cronsaipa east=Aesmorpi west=Oxishporio
Donepluto north=Dislambdus south=Dyleincii east=Laspes west=Sondorsai
Eonben north=Xelilan south=Taxdiahec east=Jupi-Ciisai west=Terra-Oxiciibri
Ara north=Tizeus south=Cica-Brenta east=Deimars west=Brenta-Retpi
Simioal north=Trapistdite south=Biru-Davcarda east=Trapist-Veem west=Yabora
Gexe north=Morcori south=Birulan east=Omrida west=Barida-Rucar
Cheaciileo north=Birupul south=Britoid east=Phice west=Typhoonam
Rondi north=Disci south=Achraspho east=Hecdyphi west=Aphro-Tapripro
Cronto north=Stelle-Marsri south=Typhoon-Benzarro east=Barsonbia
Noeli-Ara north=Astosben south=Aratius east=Eonlethter west=Opder
Typhoon north=Busterra-Piusdia south=Luosi east=Scherepsi west=Spholihy
Phiresen north=Conpia south=Tahec east=Oxidor west=Caldo-Busper
Turnsonlar north=Pagoach south=Sailic east=Aesaes west=Dyres
Hypho north=Andomi south=Prinoeli east=Domini-Thetius west=Glatiushe
Bari-Cogvalles north=Segprome south=Ditenomi east=Lestinis west=Nosen
Dunemarcal north=Dybrenta south=Trapistplu east=Gedeni west=Dreaciileth
Osi north=Ridani-Sensimio south=Ciibran east=Osi-Phanibi west=Stellera-Cordomi
Phobos north=Vanvon south=Typhoon-Caldo east=Leintu west=Typhoon-Vedel
Xeli north=Kismedel south=Nomi-Eslanep east=Opdor west=Lebnis
Peszathu north=Cogkeplar south=Pianis east=Drapha west=Magsegsep
Marvargla north=Osimio-Auraty south=Metne-Drezarmi east=Peslamb west=Phani-Nispo
Pluto north=Zeuspro south=Respesleo east=Deni-Zarrida west=Dorsaiom
Zeussegvian north=Embora-Gesepmi south=Pribri east=Ando-Pesmarpist west=Topia-Castaldov
Embo north=Buleb south=Potelmia-Noeli east=Glatiustau west=Viana
Zarmeglo north=Helikara south=Aura-Embora west=Tiaesles
Rida north=Recury south=Lepcon east=Loxtius west=Perida-Eonshpo
Quau north=Ditebri south=Bure east=Spholilein west=Promehec
Jupiter-Dusto north=Pistaph-Cordo south=Dypo east=Oxive west=Ando-Barsonve
Phani north=Trapisttune south=Vusjupi east=Liusgla west=Dorsai-Dianet
Goneli north=Chronos-Tauri south=Gidiames east=Kupsicno west=Dancal
Sepdunetra north=Mopiter-Epsi south=Nibiru-Shporio east=Embora-Tuhecthos west=Opsai
Miolimar north=Concii south=Lepve east=Barida-Eonnu west=Leraron
Cicazeus north=Auraau south=Heinleinmar east=Shporio west=Lepthi
Castaltax north=Taurida-Liusxar south=Osimio-Disty east=Shporiona west=Budone
Cicada north=Desla south=Boslicce east=Tuneom west=Deltasai
Thuraoso north=Hecdige south=Keplarval east=Aesembo west=Telmiato
Cogbari south=Bumor east=Nibiru-Joen west=Gebi
Pistvusxi north=Dislicem south=Varzar east=Domi-Dyseg west=Meom
Achranim north=Vianxarres south=Trapista east=Quasus west=Nigcelles
Taxo north=Heinleinsep south=Catcyg east=Ximari-Tele west=Noslasdor
Ronka north=Taurida-Viraplu south=Lestileth east=Phantaxson west=Topia-Laspistce
Ciixar north=Jupi south=Nomi-Phanibi east=Zathura-Toslasmia west=Loxtopia
Ryaura north=Phoonya south=Metne-Netthu east=Cosmari-Noelisig west=Pistdosra
Lonsimio north=Zeussicsic south=Dansoli east=Caldomi-Pistteni west=Auralar
Ura north=Oxivian south=Peri-Telmia east=Tape west=Cellesti-Biaamdi
Busdusto north=Tasic south=Lioxiry east=Aldige-Eslater west=Tacelles
Metunenep north=Pluto-Mopiter south=Obli-Appotel east=Bari-Kara-Cardani west=Thosstelle
Nosthura north=Terra-Leonisgi south=Senmetne east=Nanu west=Catbi
Brentaro north=Xarhe south=Ceti-Dermini east=Simio-Cosma west=Pistquacii
Araes north=Ara-Stelle south=Biru-Branscher east=Dermini-Peri west=Lepkara
Spholishpo north=Telmiapro south=Britoid-Hephaescar east=Epsimio-Brentapha west=Shporiona-Osimio
Resleb north=Shporiona-Phinig south=Toidgi east=Bosliclar west=Ciizeusdov
Licdiaori north=Aesma south=Privina east=Yanula west=Hyphobos-Magmia
Hecopaph north=Bari-Castalvon south=Mercury-Zarmiaper east=Metneli-Licleinnis west=Arvada-Plutopia
Jupiter-Phoonlambdus north=Dunemeg south=Shporiona-Oxipesry east=Aura-Appo west=Netcognig
Liuscica north=Lasteheph south=Corida-Nelidite east=Lebheli west=Morcron
Omrida north=Saidone south=Retcatben east=Dani-Mesphibi west=Gexe
Lonsi north=Andomi-Nimbus south=Biruxi east=Kupsic-Terraphan west=Caldomi-Dislamb
Pagochro north=Laosoli south=Nomini-Kara east=Kupsic west=Vivebus
Danmiago north=Telmia-Ura south=Terraplu east=Benzarret west=Ticastal
Metneli north=Vilethdo south=Phobos-Varnomi east=Turnpisthein west=Domi-Boslic
Scherhec north=Vetra south=Barsonom east=Spholi-Biari west=Kisleonis
Zeuschealeth north=Miavehein south=Rulame east=Hecpiter west=Mercury-Pules
Telmia north=Neli south=Segdite east=Catdav west=Britoidval
Vonen north=Lepbran south=Pluto-Obli east=Dorsai west=Kupsickis
Chronosturn north=Dreanep south=Piterra-Centauri east=Jupi-Marretmar west=Metneli-Vada
Cronben north=Cronsig south=Pago-Gorio east=Magdusto west=Piterra-Tauri
Vansi north=Crondone south=Resmopi east=Rionatos west=Dorsaihe
Noelial north=Achrapo south=Shporiona-Carda east=Ronsic west=Dermini-Pulba
Marida north=Phoonsig south=Branba east=Dancal west=Endorsai-Nula
Leradis north=Lanes south=Varmio east=Zeusthoshe west=Mari-Omri
Jodige north=Kara-Thuratius south=Nigpa east=Branendor
Scherpuscon north=Prinig south=Oriseg east=Keplar-Leonisbi west=Ditees
Thiprome north=Lanpist south=Tauri east=Thetal west=Oxiheinlein
Rybus north=Deni-Chronos-Dustopia south=Cosmari-Licbarson east=Vusmag west=Dermi-Cica
Cellesti-Centau north=Endor-Nibiru south=Spholiori east=Rora-Typhoonnos west=Piusseg
Danchro north=Britoid-Osolirio south=Britoid-Phanibi east=Senca west=Riona-Resnibi
Miavon north=Lesti-Lesti south=Tauri-Stellera east=Retgoper west=Meglo-Perciipi
Tiusdusto north=Tunepespus south=Phoonbran east=Diatel west=Catarva
Barsonnos north=Typhoonco south=Lestibi east=Ronty west=Heligi
Cogtu north=Priaphro south=Lanmini east=Miater west=Thiura
Omri north=Leonis south=Phantax-Diaper east=Dreaura west=Boslicdy
Aldige north=Keplardan south=Nischea east=Kisdige west=Shporio-Xeli
Tuneom north=Liccyg south=Leindra east=Tiusdavtius west=Cicada
Cogbrenta north=Toidlar-Neli south=Sepzathu east=Dustopia-Thurare west=Prineptune
Dunesa north=Aldige-Viep south=Eonseg east=Arari west=Senbari
Piterra-Plutopia north=Zathu-Hypho south=Bosliclon east=Lambdus west=Mercury-Morthethu
Yadav north=Tauri-Mopiter south=Zathu-Cygdermi east=Metneli-Lonsi west=Promecen
Conaph north=Tiuslamb south=Shporiona-Karaso east=Cygli west=Canos-Cordomi
Saturndite north=Heczarphoon south=Hecdi east=Neptune-Nisas west=Deltadov
Ximari north=Laspiustos south=Golachro east=Potelmia-Miaveturn west=Vandrebus
Noeli-Thura north=Nomini-Cori south=Simiola east=Appo-Ando west=Siglius
Digedov north=Domini-Liusliza south=Xeliturn east=Ronter west=Opre
Netrastel north=Rasa south=Thuravon east=Voncica west=Zaraes
Solibar north=Meti south=Embora east=Potel-Naron west=Phantax-Omri
Ladomi north=Topiabia south=Benzar-Simioca east=Zathu-Pesori west=Oribi
Netaes north=Thuraty south=Cosmari east=Scherya west=Teni
Curyhein north=Thipago south=Cardani-Bari east=Shporio-Nosdei west=Marli
Omri-Kisarva north=Leppricii south=Valles-Tiushe east=Oblitius-Lesti west=Joglatius
Lacu north=Heinlein-Diamagnoe south=Phoonri east=Sigresgi west=Loxsonri
Kupsic-Morap north=Dusto-Kupsic south=Stagnibi-Tugoza east=Xelizar west=Vargi
Mebar north=Miophoondes south=Terra-Lambdusto east=Lotaxstag west=Opspholi
Deskaratel north=Senau south=Borascher east=Nosvar west=Osoli-Vilepba
Phiprile north=Loobli south=Lonsi-Dreaara east=Piusoxi west=Leonis-Promehy
Deltacar north=Viantax south=Bora-Epsi east=Vexe west=Terra-Vidy
Plutopia-Draphoon north=Dandel south=Dermi east=Noelical west=Sigvonnos
Niscygem north=Thedespo south=Astoses east=Mopiter-Conamdi west=Tauri-Lansus
Nomini-Catzarkep south=Perida east=Pesseg west=Convianpi
Dosles north=Retgoqua south=Veepsi east=Tizar west=Disriona
Rorama north=Domini-Danibi south=Tikeplar east=Barida-Scherphan west=Bora-Deltapul
Ceti north=Dusto-Centau south=Pulbucen east=Piterra-Tauri west=Resphantax
Rida-Stagni north=Segnep south=Karada east=Nulatos-Percii west=Ando-Danibi
Rida-Curycat north=Trapista-Shporio south=Segpriam east=Jotoseon west=Mercury-Ryosoli
Arvada north=Ura-Plutopia-Typhoonpro south=Lugidone east=Terranep west=Vusoripi
Varchea north=Varda-Embo south=Thosne east=Dige-Senbrenta west=Drade
Desaura north=Yadel south=Pluto-Catper east=Ceti-Biacheatos west=Rypro
Jotuneplu north=Busyalo south=Catrumer east=Mehein west=Quage
Cosma-Keplarme north=Esla south=Pusa east=Leonisdav west=Ciiu
Nosthosri north=Jupi-Ciisai south=Lonsi-Miakislu east=Lestitra west=Taxdiahec
Pago north=Pistya south=Dani-Esla east=Netti west=Ura-Aldi
Lera-Tumarge north=Zathu-Kupsic south=Trapist-Veem east=Joglatius west=Trapistdite
Vitivian north=Heinleinxi south=Dosboslic east=Limeglo west=Deltava
Taurida north=Bulanlas south=Karago east=Cica-Larcyg west=Noschro
Ryriona north=Aurajo south=Domi-Ruza east=Segcu west=Tostedune
Sepstagni north=Nisshpo south=Appotel-Talgla east=Tedav west=Barson-Gohephaes
Taxmet-Esla north=Vonmars south=Gihy east=Deivianlu west=Amdi-Lebsoli
Conbia north=Terrapius south=Phani-Ryo east=Meglo-Hecmini west=Loxtius
Neptuneori north=Endor-Branstagni south=Piusdischro east=Embo-Toidoxi west=Conpiter
Raom north=Netterra south=Dustopia-Pullar east=Cheamarpus west=Marida-Rionaka
Ronshpo north=Rora-Vanma south=Larry east=Cori-Aphrora west=Delta-Tuneomri
Segando north=Bora-Cordomi south=Stagnibi-Nomini east=Embo-Dermini west=Meglo-Pesdunedite
Revalles north=Dermi-Diabugla south=Obli east=Turnpo west=Aphro-Xima
Ciiphani north=Moroxi south=Solispho east=Vicyg west=Zeustax
Hyphobos north=Lasbiru south=Pulach east=Piterra-Ara west=Barsonspho
Castal north=Bulicdre south=Lestinis east=Ceti-Piusbora west=Segprome
Aldi-Ara north=Gedeni south=Valles-Lepcury east=Danchronos west=Trapistplu
Brantauri north=Noeli-Plutopia south=Nosti east=Meglosep
Vadani north=Soli-Lebstel south=Telmiabos east=Xima-Mari west=Tuneluu
Stelle north=Tauri-Perida south=Tepiter east=Glatiuslep west=Chronosre-Joxe
Marcel north=Mari-Mari south=Cury east=Dremet west=Lethsenti
Oxicheadan north=Trapistder south=Dosya east=Dorsailu west=Saturnori
Aesdralius north=Plutopia-Disboslic south=Kisaph east=Vanthibu west=Taval
Gocog north=Noelidite south=Stelle-Pulba east=Dantaxpri west=Simioti
Miodone north=Typhoonam south=Puspialeth east=Britoid west=Andomi-Thossenau
Philes north=Mari-Lepaldi south=Heli east=Cogep west=Saturn-Centauri
Lera-Endor north=Britoid-Leracu south=Typhoontel-Quatrapist east=Nisleth west=Morcondi
Pesstelle north=Piterra south=Medo east=Rora-Achrama west=Glatius-Dyvarcron
Deslarleth north=Biava south=Eslapho east=Telmia-Pluto west=Topia-Trapist
Susdeire north=Dermi-Tosspholi south=Brenta east=Phitauri west=Cygaph
Endor north=Eonbus south=Varconal east=Valles-Vanaesthu west=Castalzar
Lonula north=Yado south=Shporio east=Theomri west=Auraau
Corida north=Chronosdone-Denibi south=Xeli-Landan east=Pulaph west=Amdige-Ressaima
Tosriona north=Shporiona south=Karachro-Dustopia west=Osimio-Disty
Vinula north=Cosma south=Vonembo east=Ditebi west=Domini-Cetidra
Viana north=Achrapist south=Centauri east=Embo west=Dani-Vallesti
Domi north=Xarloxnoe south=Yaspho east=Tosli west=Prome-Epsimio
Rames north=Conzathu south=Yaom east=Aphro-Cordomi west=Heli-Dantal
Gedovbo north=Magsig south=Riona-Noeli east=Cogres west=Lestiop
Rapuldei north=Gozar south=Hecmari east=Osolinos west=Prome-Valles
Diaesla north=Caldomi south=Ditetius east=Dusto-Aura west=Diteleb
Celles north=Dusto south=Taxdone east=Talbia west=Lera-Mardige
Thosmeglo north=Deni-Perciiles south=Tiussoli east=Andomi-Deinaca west=Mari-Catoso
Sepo north=Lebleth south=Lestilein east=Donegebo west=Osimio-Lasoli
Susbenzar north=Toidjocen south=Ligla east=Achra-Phani west=Saturn-Achra
Phantaxbos north=Deltadia south=Stagnibi east=Cellesti-Aldige west=Tipha
Terracyg north=Canis south=Plutopia east=Shporio-Viphan west=Boslic-Laomri
Liusta north=Potel-Cronqua south=Diare east=Typhoon-Diacor west=Pago-Theseg
Lambdusto north=Cosma-Lethheinlein south=Phani-Perida east=Morto west=Quatoste
Toidzeus north=Bora south=Aphro-Pluto east=Karame west=Saturnaph
Phanibi north=Vanbo south=Terranos east=Saturn-Tauri west=Tatel
Corida-Boslic north=Cygchronos south=Vonsus east=Vekeplar west=Cica-Osolilo
Vontel north=Aldi south=Dovscher east=Zardy west=Yaop
Karaca north=Spholigla south=Jupi-Spholi east=Heli-Curycen west=Pagodel
Tiusleo north=Lebheli south=Lethphan east=Plutopia-Endor west=Corida-Nelidite
Hecta north=Barida south=Kara-Lury east=Shporio-Mesnomi west=Thosesla
Piaeonbu north=Biru-Endorsai south=Cosma-Disomri east=Neli-Marida west=Eonlethter
Pluto-Danachra north=Kupsic south=Perciilo east=Aesleonis west=Nomini-Kara
Danbar north=Danibi south=Nelibri east=Stagni-Leppusju west=Aldige-Quarida
Nismetne north=Phoonbren south=Telmiaqua east=Toidmio west=Topiaes
Vonturnlep north=Piusbran south=Scherprisi east=Toscosma west=Aurason
Reskis north=Dani south=Curycii east=Ceti-Vianturnbran west=Pusleinvus
Suscor north=Tiusgi south=Lestimor east=Cellesti-Centau-Pularva west=Thoslic
Heli-Sendes north=Cosma-Deni south=Cellesti east=Dusto-Tisegmor west=Britoidme-Yacii
Cheaxarter north=Marida-Phimopi south=Ditedesret east=Spholi-Vadani west=Despesza
Tosnim north=Deiplu south=Oprora east=Morcondi west=Nismeglo
Mercury-Neptunecyg north=Soli-Britoidpi south=Dermini east=Zathura-Morlethso west=Arapa
Saipri north=Licaph south=Lera-Dovthura east=Aesti west=Dreaturnbri
Dige north=Kupsic-Amdige south=Centau-Mercu east=Vanpa west=Phanibi-Meprimer
Marsrora north=Eonmia south=Achrace east=Prome-Oxipe west=Suslic
Arva north=Oxisa south=Dermini-Meglo east=Ronbari west=Nomini-Joro
Zeuspotel north=Tischerkara south=Licstagni east=Miometne west=Mopiter
Danbranleth north=Pulru east=Phoonpul west=Leraeon
Bumer north=Theomri south=Sigdrea east=Digejo west=Shporio
Borago north=Liceti south=Oxishporio east=Trapistne west=Diapi
Endorsai north=Pluto-Keplarbo south=Davbiaka east=Dermi-Topiapi west=Eontopia
Brander north=Ronlicgla south=Miobritoid east=Soliry
Cogen north=Keplarxi south=Digebren east=Viandoneal west=Tunetius
Dymet north=Neptunepro south=Denibi-Minibi east=Dracar west=Resvon
Contel north=Dovri south=Osoli east=Trapist-Boramar west=Branbia-Drametne
Cica north=Lani south=Zathu east=Mesdes west=Simio-Concos
Nibi north=Piusnula south=Turnty east=Biabrancas west=Promerio
Boslicmeg north=Eslano south=Tiusmet east=Cheados west=Glatius-Neli
Chronosre north=Lebnoeli south=Astos east=Osimio-Omri west=Kupsic-Britoid
Appotel north=Tiusge south=Stelle-Amdi east=Ditevian west=Miopulkis
Niskep north=Achra-Coghephaes south=Yasicqua east=Ara-Andomi west=Spholi-Osi-Morla
Resresnoe north=Oxiturnchea south=Aphrora east=Dosbusi west=Segcu
Aespha north=Bari-Diape south=Susta west=Chronoses
Mari-Nomi north=Epsi south=Bupul east=Perida-Danibi west=Naoxibus
Varthu north=Drades south=Dunedani east=Dunelamb west=Danara
Oblity north=Nibiru south=Potel-Aracen east=Ronlickis west=Lera-Biru
Xarto north=Glatiushe south=Hypho-Githos east=Prinoeli west=Dunere
Branomri north=Dustopia south=Sena east=Vonlein west=Ceti-Taxdusto
Dreane north=Nigbri south=Kupsicen east=Phantaxru west=Castalde
Pesxar north=Biru south=Tenim east=Saistel west=Varviro
Ando-Vusvian south=Mesdis east=Thurabus west=Arva-Peri
Nomi north=Eslabi south=Aespia east=Ando-Zeusdynep west=Talpluto
Thicel north=Lepmia south=Lupluto east=Dermini-Conle west=Phantaxleo
Dige-Rida north=Digedes south=Deni east=Sigvilic west=Pulal
Noeli-Cronxima north=Neli-Jocelles south=Davlera east=Centau-Achra west=Nula-Pesdei
Turnnis north=Sonpiter south=Thosjupi east=Vantax west=Branra
Lumet north=Neptunetos south=Diadani east=Phipri west=Embora-Pagoles
Lebdosom north=Nosna south=Sigdusto east=Piacog west=Puszeusmar
Cronbus north=Ryglatius south=Vada east=Saturn-Diaju west=Cosmari-Cosmari
Barsontel north=Ciiri south=Piter east=Lalarkup west=Nosbar
Spholi-Thostos north=Denibi-Castal south=Piusnoe east=Piter-Xima west=Marsam
Phoonliccii north=Simioleth south=Jupiter east=Gelon west=Liusnostau
Dorsaitius north=Miocal south=Lanmet east=Typhoontel west=Lepomri
Curyso north=Taxcaldo south=Carda east=Oxipulpul west=Cordomi-Perciieon
Marsdeni north=Metne south=Miokep east=Terra-Redraci west=Lolera
Talsus north=Xeli-Hephaes south=Meaesmar east=Oxisencor west=Karabos
Bora-Rahe north=Vusstelle south=Lepca east=Lasheclein west=Embora-Typhoondo
Denibi north=Meom south=Cronles east=Varzar west=Mini-Ditetelmia
Turnsonpist north=Maggomes south=Centauri-Arvada east=Cogrusa west=Pluto-Shporiona
Caldo-Pridomi north=Ando south=Boslicron east=Vichronos west=Busdesmer
Prome north=Deicor south=Noslan east=Budov west=Zarbenzar
Mini north=Branbia south=Lera east=Taleonno west=Duneca
Vanpa north=Heinlein south=Disret east=Terra-Laval west=Dige
Giperi north=Uramo south=Yakup east=Noeli-Bora west=Taxmia
Heliom north=Zeusron south=Deite east=Nelikep west=Potel-Donenoeli
Hephaesju north=Retsus south=Cosma-Leppul east=Topiaxar west=Phiti
Lopiustax north=Quatrapist south=Bulius east=Dorsainim west=Dunera
Diatithu north=Typhoonsus south=Meglo-Hecmini east=Vuspercii west=Terrapius
Vusqua north=Dermini-Hecthebren south=Opsep east=Cordo-Tunoe west=Morde
Eontyphoon north=Tusaipha south=Neptuneba east=Tuneturn west=Phobos-Hyphobos
Dislambdus north=Puleon south=Donepluto east=Celles-Brenta west=Netdre
Doneresty north=Ciibenzar south=Perciigi east=Kisaura-Achra west=Lonsimio-Lepnetal
Tizeus north=Prome-Esla south=Ara east=Lethcascher west=Teo
Biru-Davcarda north=Simioal south=Sigliuspe east=Vadani-Nigtoid west=Auraom
Ditecogre north=Mini-Suspes south=Brancaan east=Rumor west=Bialera
Branlein north=Dyvian south=Oppriphoon east=Danara west=Cellesti-Meperi
Britoid north=Cheaciileo south=Nulatos-Lasthu east=Aesando west=Miodone
Meglo north=Roncu south=Shporio-Ragla east=Pripistphoon west=Caldo-Varryturn
Typhoon-Benzarro north=Cronto south=Osimio east=Metne-Jupiter
